Species	SeqID	Sigma	Phi
Cort	Centroid	0.8628965705616056	0.9564487238617851
Pzon	Centroid	0.9180157845378801	0.9824023095347247
Fmul	Centroid	0.8644180089721887	0.9543563123343454
Ltra	Centroid	0.6990859648333123	0.8864977809208616
Mlar	Centroid	0.30518839567212197	0.6278224907710016
Patt	Centroid	0.8662540038800874	0.9605837886333843
Ztri	Centroid	0.6975437411893999	0.9095447610190971
Lmac	Centroid	0.7813930569233507	0.9684219542729695
Opar	Centroid	0.9664903147664594	0.9675260661629526
Wsor	Centroid	0.9537810997451012	0.9751126282730995
Jros	Centroid	0.959694487324775	0.9945919311332253
Scri	Centroid	0.763172699610485	0.9230758295984911
Eoli	Centroid	0.7964626625761643	0.9504501718026394
Anam	Centroid	0.8753492798850797	0.9626692393893309
Aibe	Centroid	0.8557047158174648	0.9630047345758731
Pdig	Centroid	0.7432193420933416	0.9098806218186425
Pari	Centroid	0.8587221055350764	0.9552084572949019
Apor	Centroid	0.8496602176311542	0.9524713200700088
Uree	Centroid	0.847541105755276	0.9443343495738397
Emes	Centroid	0.7979617012486356	0.9496491137681145
Aing	Centroid	0.9549526428358293	0.9943065346837937
Ecym	Centroid	0.9135200540926812	0.9817989736865345
Seub	Centroid	0.938774917921474	0.9849711691816955
Hcap	Centroid	0.6413330476248935	0.8462281729526273
Lthe	Centroid	0.9549674256831755	0.9852770342054068
Scom	Centroid	0.8051793941683724	0.9352549298865688
Tmar	Centroid	0.863541172247295	0.9658537681984207
Cbet	Centroid	0.8531390573883211	0.9598937640664799
Bspe	Centroid	0.8232895060092933	0.946157960892273
Ascl	Centroid	0.8521671854709502	0.9642440258401453
Foxy	Centroid	0.8881596463339217	0.9736402512217937
Ndai	Centroid	0.8936500433114697	0.9710110701092811
Afum	Centroid	0.7872163381943889	0.9338453859279158
Tmel	Centroid	0.1897599008338181	0.6547279441547003
Tthe	Centroid	0.6849659949034059	0.9068141034300625
Chig	Centroid	0.6479126376379534	0.8522482877774881
Ceur	Centroid	0.8573144136540939	0.9554421321602614
Eder	Centroid	0.9245187392367101	0.9863904957320037
Plut	Centroid	0.6545307025581104	0.8647248465296716
Pory	Centroid	0.7920499685669485	0.9326082120214402
Pexp	Centroid	0.7918982571832313	0.9240924092409241
Gtra	Centroid	0.7377162277116359	0.9166155653487132
Aacu	Centroid	0.79311907091162	0.9305588225961109
Tatr	Centroid	0.7527378202766506	0.9190737994291739
Tpha	Centroid	0.9290621946581025	0.9835851187763054
Fmon	Centroid	0.8177187723774123	0.935672514619883
Kpin	Centroid	0.9605617970419623	0.9934104183007072
Agla	Centroid	0.8708844807903013	0.9675509445819358
Asub	Centroid	0.9190852526527381	0.9783156880620688
Pstr	Centroid	0.8234203536372579	0.9450238404590782
Hirr	Centroid	0.8228398313683997	0.9485264440512825
Ppla	Centroid	0.7276985619941309	0.8909378443697016
Pglu	Centroid	0.955928160171724	0.994550377832597
Mbru	Centroid	0.6496571326066303	0.8498986501363144
Pfic	Centroid	0.7005796979109921	0.8871969108745583
Ccor	Centroid	0.8232839404965628	0.9306150296990343
Camy	Centroid	0.9540829530566605	0.9937471214585712
Bmay	Centroid	0.8513978550730986	0.9581004393097844
Aarb	Centroid	0.8171051745452799	0.9356020775316046
Cban	Centroid	0.804079282288372	0.9325351311371289
Ahom	Centroid	0.8320848465456686	0.94879936897274
Abis	Centroid	0.7727123217699158	0.916607325858243
Bcin	Centroid	0.7664727834321495	0.9205292630018842
Aoli	Centroid	0.6379378029119473	0.8356488578672897
Kdej	Centroid	0.9461439377929793	0.9886461535478214
Ccin	Centroid	0.8730232705370969	0.968733141231413
Anig	Centroid	0.8793700785544221	0.9663757288226891
Clus	Centroid	0.8582837773019907	0.8918491962535473
Gcla	Centroid	0.7605281681141464	0.9096508771655096
Soct	Centroid	0.9708159629484311	0.9925848000369563
Aneo	Centroid	0.8549430691980733	0.963875092973467
Kman	Centroid	0.951273607886982	0.989554964044489
Kbes	Centroid	0.9518703818974797	0.9897530693088132
Cimm	Centroid	0.8263044346800543	0.962223287282242
Ccar	Centroid	0.808458612286991	0.9255258150444349
Bgil	Centroid	0.418914734565805	0.8915245856341628
Slac	Centroid	0.6683056113411634	0.8999827393888828
Pbra	Centroid	0.6493798901455123	0.8520829494880907
Salk	Centroid	0.6572258918200092	0.9376523126238624
Arub	Centroid	0.8175602976019276	0.9491349177371659
Tsti	Centroid	0.8358928515670869	0.9554909687611618
Tgam	Centroid	0.6441758897987151	0.8453245109636369
Tben	Centroid	0.8130025643966388	0.9342125237044481
Vgal	Centroid	0.8935891323482446	0.9720727276492277
Acam	Centroid	0.8528658439331526	0.954119313268232
Awel	Centroid	0.8644723195019106	0.962084497809136
Dsqu	Centroid	0.786534564339094	0.931970727248048
Bden	Centroid	0.8519103453986456	0.9464065674075296
Mbic	Centroid	0.6814853561890716	0.882866755268719
Apul	Centroid	0.8917433507541437	0.9727807395520175
Smic	Centroid	0.7219080279107335	0.910311955790525
Kimp	Centroid	0.9631666959812506	0.9907360028409293
Tmes	Centroid	0.7759729411849956	0.9243945923355833
Psco	Centroid	0.8352466089955922	0.9510668225301212
Fped	Centroid	0.8453111679805927	0.9459720528387486
Capo	Centroid	0.8583710364928513	0.9573447636700649
Twas	Centroid	0.9339816428707439	0.9904329859863457
